Case35,cntr_Manchester_TRY.epw,0,0.868,0.828,0.38,200,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.33,3.84,20.016
Case36,cntr_Manchester_TRY.epw,0,0.868,0.828,0.38,2480,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.33,3.84,20.016
Case37,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.33,3.84,20.016
Case38,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.75,3.84,20.016
Case39,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.75,3.84,20.016
Case40,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0032,0.00046,24.4,72,0.75,3.84,20.016
Case41,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0032,0.00046,24.4,72,0.75,9,20.016
Case42,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0032,0.001,24.4,72,0.75,9,20.016
Case43,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0032,0.001,24.4,180,0.75,9,20.016
Case44,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0005,0.001,24.4,180,0.75,9,20.016
Case45,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,38,0.0005,0.001,24.4,180,0.75,9,20.016
Case46,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,2480,0.03,0.032,0.043,0.5,38,0.0005,0.001,24.4,180,0.75,9,20.016
Case47,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,2480,0.03,0.032,0.043,0.5,38,0.0005,0.001,24.4,180,0.75,9,20.016
Case48,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,2480,0.03,0.032,0.043,0.5,38,0.0005,0.001,19.6,180,0.75,9,20.016
Case49,cntr_Manchester_TRY.epw,0,0.592,0.432,0.242,2480,0.03,0.032,0.043,0.5,38,0.0005,0.001,19.6,180,0.75,9,20.016
Case50,cntr_Manchester_TRY.epw,0,0.592,0.432,0.242,2480,0.03,0.032,0.043,0.782,38,0.0005,0.001,19.6,180,0.75,9,20.016
Case51,cntr_Manchester_TRY.epw,0,0.592,0.432,0.242,2480,0.03,0.032,0.043,0.782,38,0.0005,0.001,19.6,180,0.75,9,5.064
Case52,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,200,0.01,0.021,0.021,0.688,80,0.0014,0.0001,18,36,0.75,3.84,15.032
Case53,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,200,0.01,0.021,0.021,0.688,80,0.0014,0.0001,18,36,0.33,3.84,15.032
Case54,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,200,0.01,0.021,0.021,0.688,80,0.0041,0.0001,18,36,0.33,3.84,15.032
