Case1,0,0,0.9,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case2,0,0,0.5,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case3,0,0,0.524210526,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case4,0,0,0.548421053,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case5,0,0,0.572631579,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case6,0,0,0.596842105,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case7,0,0,0.621052632,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case8,0,0,0.645263158,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case9,0,0,0.669473684,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case10,0,0,0.693684211,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case11,0,0,0.717894737,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case12,0,0,0.742105263,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case13,0,0,0.766315789,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case14,0,0,0.790526316,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case15,0,0,0.814736842,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case16,0,0,0.838947368,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
Case17,0,0,0.863157895,0.7,0.3311,837,0.0133,0.0432,0.049,0.92,40,0.0015,0.0002,24,0,0.4,2.86,1
