#,Job_ID,WeatherFile,ModelFile,@@EW_Abs@@,@@RSolar_Abs@@,@@SG_Trans@@,@@cp_w_conc@@,@@G_k@@,@@WIns_k@@,@@RIns_k@@,@@EW_S&V_Abs@@,@@IHG@@,@@V_Rate@@,@@Inf@@,@@C_SP@@,@@Rot@@,@@Glazz@@,@@Rat@@,@@RA@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: Total cooling Annual Value [kWh],c1: Peak Total Cooling [W],c2: Sens_Cooling Annual [kWh],c3: [W],c4: [W],c5: [kWh],c6: Calc Des Load [W],c7: User Design Load [W],c8: User Design Load per Area [W/m2],c9: Glazz Ratio[%],c10: Floor Area[m2],c11: Volume [m3],c12: Window Opening Area [m2],c13: Gross Wall Area [m2],c14: North Wall Area [m2],c15: East Wall Area [m2],c16: Peak Total Cooling Time,c17: [time],,,,
379,Case380,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.776,0.432,0.242,4000,0.03,0.054,0.01,0.5,10,0.0032,0.00046,18,180,0.47,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.59,6372.42,19459.01,-5278.41,-15295.92,19459.01,6372.42,15133.5,18160.2,141.88,46.85,128,448,123.68,263.99,118.79,13.2,0,0,49.78453125,152.0235156,,
380,Case381,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.776,0.432,0.242,4000,0.03,0.054,0.01,0.5,10,0.0032,0.001,18,180,0.47,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.58,6555.61,22826.59,-5333.78,-17884.26,22826.59,6555.62,17623.68,21148.42,165.22,46.85,128,448,123.68,263.99,118.79,13.2,0,0,51.21570313,178.3327344,,
381,Case382,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.776,0.432,0.242,1720,0.03,0.054,0.01,0.5,10,0.0032,0.001,18,180,0.47,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.59,6651.24,23108.98,-5418.61,-18119.56,23108.98,6651.25,17863.45,21436.14,167.47,46.85,128,448,123.68,263.99,118.79,13.2,0,0,51.9628125,180.5389063,,
382,Case383,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.776,0.432,0.38,1720,0.03,0.054,0.01,0.5,10,0.0032,0.001,18,180,0.47,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.58,7183.72,23783.13,-5888.19,-18706.06,23783.13,7183.72,18460.46,22152.55,173.07,46.85,128,448,123.68,263.99,118.79,13.2,0,0,56.1228125,185.8057031,,
383,Case384,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.776,0.432,0.38,1720,0.03,0.054,0.01,0.5,10,0.0032,0.001,18,180,0.05,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.51,3614.12,16629.84,-2819.2,-12257.15,16629.84,3614.12,12014.44,14417.33,112.64,4.98,128,448,13.16,263.99,118.79,13.2,0,0,28.2353125,129.920625,,
384,Case385,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.776,0.432,0.38,1720,0.03,0.054,0.01,0.782,10,0.0032,0.001,18,180,0.05,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.49,3848.55,17048.65,-3007.57,-12509.29,17048.65,3848.55,12267.08,14720.49,115,4.98,128,448,13.16,263.99,118.79,13.2,0,0,30.06679688,133.1925781,,
385,Case386,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.5,0.432,0.38,1720,0.03,0.054,0.01,0.782,10,0.0032,0.001,18,180,0.05,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.54,3953.92,17212.83,-3092.5,-12607.49,17212.83,3953.92,12365.25,14838.3,115.92,4.98,128,448,13.16,263.99,118.79,13.2,0,0,30.89,134.4752344,,
386,Case387,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.5,0.432,0.38,1720,0.03,0.054,0.01,0.782,10,0.0032,0.001,18,72,0.05,9,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.51,4188.66,17880.44,-3286.06,-12982.43,17880.44,4188.67,12756.39,15307.67,119.59,4.98,128,448,13.16,263.99,13.2,118.79,0,0,32.72390625,139.6909375,,
387,Case388,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.5,0.432,0.38,1720,0.03,0.054,0.01,0.782,10,0.0032,0.001,18,72,0.05,9,15.032,EnergyPlus Completed Successfully,1,0,0,0,3.47,501774.1,2038867.43,-391750.54,-1538147.22,2038867.43,501774.5,1507290.32,1808748.38,75.2,5,24051.2,84179.2,180.89,3618.64,180.93,1628.39,0,0,20.86274697,84.77196273,,
388,Case389,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.5,0.828,0.38,1720,0.03,0.054,0.01,0.782,10,0.0032,0.001,18,72,0.05,9,15.032,EnergyPlus Completed Successfully,1,0,0,0,3.45,503900.39,2043174.42,-393461.65,-1540406.8,2043174.42,503900.79,1509558.59,1811470.31,75.32,5,24051.2,84179.2,180.89,3618.64,180.93,1628.39,0,0,20.95115379,84.95103862,,
389,Case390,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.5,0.828,0.38,1720,0.03,0.054,0.01,0.782,10,0.0005,0.001,18,72,0.05,9,15.032,EnergyPlus Completed Successfully,1,0,0,0,3.47,502214.49,983392.75,-408381.15,-746731.35,983392.75,502214.89,734611.45,881533.74,36.65,5,24051.2,84179.2,180.89,3618.64,180.93,1628.39,0,0,20.88105749,40.88747131,,
390,Case391,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.5,0.828,0.38,1720,0.015,0.054,0.01,0.782,10,0.0005,0.001,18,72,0.05,9,15.032,EnergyPlus Completed Successfully,1,0,0,0,3.48,502448.52,982489.12,-408574.21,-745727.96,982489.12,502448.93,733626.19,880351.43,36.6,5,24051.2,84179.2,180.89,3618.64,180.93,1628.39,0,0,20.89078799,40.84990021,,
391,Case392,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.242,4000,0.01,0.054,0.043,0.594,66,0.0023,0.00046,18,144,0.47,5.56,5.064,EnergyPlus Completed Successfully,1,0,0,0,3.52,2577868,1013639.53,-2430683.22,-855929.57,1013639.53,2577870.06,849679.37,1019615.24,125.84,46.98,8102.4,28358.4,823.5,1752.96,742.87,133.61,0,0,318.1610387,125.103615,,
392,Case393,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.242,4000,0.01,0.054,0.043,0.594,66,0.0023,0.00046,22.8,144,0.47,5.56,5.064,EnergyPlus Completed Successfully,0,0,0,0,3.55,1054070.83,779881.12,-958610.26,-655518.87,779881.12,1054071.67,648340.26,778008.32,96.02,46.98,8102.4,28358.4,823.5,1752.96,742.87,133.61,0,0,130.093655,96.25310032,,
393,Case394,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.242,4000,0.01,0.054,0.01,0.594,66,0.0023,0.00046,22.8,144,0.47,5.56,5.064,EnergyPlus Completed Successfully,0,0,0,0,3.56,1058977.28,768097.94,-963892.54,-648125.98,768097.94,1058978.13,640403.88,768484.66,94.85,46.98,8102.4,28358.4,823.5,1752.96,742.87,133.61,0,0,130.6992101,94.79881763,,
394,Case395,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.242,4000,0.01,0.054,0.01,0.876,66,0.0023,0.00046,22.8,144,0.47,5.56,5.064,EnergyPlus Completed Successfully,0,0,0,0,3.57,1062269.42,768993.89,-967060.99,-648875.08,768993.89,1062270.27,641152.71,769383.25,94.96,46.98,8102.4,28358.4,823.5,1752.96,742.87,133.61,0,0,131.1055268,94.90939598,,
395,Case396,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.242,4000,0.01,0.054,0.01,0.876,24,0.0023,0.00046,22.8,144,0.47,5.56,5.064,EnergyPlus Completed Successfully,0,0,0,0,3.56,55824.43,388366.62,-45562.4,-305186.83,388366.62,55824.48,298021.13,357625.36,44.14,46.98,8102.4,28358.4,823.5,1752.96,742.87,133.61,0,0,6.889863497,47.93229414,,
396,Case397,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.242,4000,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,144,0.47,5.56,5.064,EnergyPlus Completed Successfully,0,0,0,0,3.56,55496.84,387366.95,-45298.28,-304722.7,387366.95,55496.88,297554.42,357065.31,44.07,46.98,8102.4,28358.4,823.5,1752.96,742.87,133.61,0,0,6.849432267,47.80891464,,
397,Case398,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.38,4000,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,144,0.47,5.56,5.064,EnergyPlus Completed Successfully,0,0,0,0,3.56,57558.88,390790.63,-47015.15,-307868.47,390790.63,57558.93,300704.94,360845.93,44.54,46.98,8102.4,28358.4,823.5,1752.96,742.87,133.61,0,0,7.1039297,48.23146599,,
398,Case399,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.38,4000,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,144,0.47,5.56,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.55,203843.85,1463658.99,-165971.65,-1149299.19,1463658.99,203844.02,1120872.6,1345047.12,42,46.99,32025.6,112089.61,1637.59,3485.08,1476.91,265.63,0,0,6.36502829,45.70278121,,
399,Case400,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.38,4000,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,36,0.47,5.56,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.51,205628.01,1494168.25,-167561,-1172202.13,1494168.25,205628.18,1142462.13,1370954.55,42.81,46.99,32025.6,112089.61,1637.59,3485.08,1476.91,265.63,0,0,6.420738722,46.65543347,,
400,Case401,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.38,4000,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,36,0.47,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.63,200070.18,1458357.22,-162828.11,-1143553.02,1458357.22,200070.34,1115070.43,1338084.51,41.78,46.99,32025.6,112089.61,1302.9,2772.97,396.14,990.35,0,0,6.247195369,45.53723334,,
401,Case402,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.38,4000,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,36,0.05,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.5,177896.44,1395569.77,-144323.38,-1090504.96,1395569.77,177896.58,1061601,1273921.2,39.78,5,32025.6,112089.61,138.61,2772.97,396.14,990.35,0,0,5.554819894,43.57669396,,
402,Case403,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.432,0.38,4000,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,36,0.05,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.49,175328.51,1389123.52,-142229.56,-1086023.84,1389123.52,175328.65,1057129.23,1268555.08,39.61,5,32025.6,112089.61,138.61,2772.97,396.14,990.35,0,0,5.474636229,43.37540967,,
403,Case404,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.432,0.38,1720,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,36,0.05,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.5,172556.26,1385044.75,-140028.01,-1083897.64,1385044.75,172556.4,1055000.47,1266000.56,39.53,5,32025.6,112089.61,138.61,2772.97,396.14,990.35,0,0,5.388072667,43.24805,,
404,Case405,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.38,1720,0.01,0.021,0.01,0.876,24,0.0023,0.00046,22.8,36,0.05,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.51,173088.99,1386380.16,-140462.47,-1084755.98,1386380.16,173089.13,1055857.49,1267028.98,39.56,5,32025.6,112089.61,138.61,2772.97,396.14,990.35,0,0,5.404707172,43.2897482,,
405,Case406,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.38,1720,0.01,0.021,0.01,0.876,24,0.005,0.00046,22.8,36,0.05,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.49,124686.43,2070762.36,-101094.58,-1643387.86,2070762.36,124686.53,1589348.95,1907218.73,59.55,5,32025.6,112089.61,138.61,2772.97,396.14,990.35,0,0,3.893336268,64.65959607,,
406,Case407,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.38,1720,0.025,0.021,0.01,0.876,24,0.005,0.00046,22.8,36,0.05,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.5,124740.26,2071781.01,-101139.39,-1644157.78,2071781.01,124740.36,1590095.37,1908114.44,59.58,5,32025.6,112089.61,138.61,2772.97,396.14,990.35,0,0,3.895017111,64.69140344,,
407,Case408,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.38,1720,0.025,0.021,0.01,0.876,24,0.005,0.001,22.8,36,0.05,0.4,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.52,122755.85,2215440.93,-99629.53,-1766239.87,2215440.93,122755.95,1706826.15,2048191.39,63.95,5,32025.6,112089.61,138.61,2772.97,396.14,990.35,0,0,3.833053869,69.17718731,,
408,Case409,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.196,4000,0.015,0.032,0.01,0.876,52,0.0023,0.00046,18,36,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.61,24981.82,18053.16,-22539.22,-15065.98,18053.16,24981.84,14962.73,17955.28,140.28,32.84,128,448,57.57,175.31,25.04,62.61,0,0,195.1704688,141.0403125,,
409,Case410,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.196,4000,0.015,0.032,0.01,0.594,52,0.0023,0.00046,18,36,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.62,24684.01,17949.89,-22250.85,-14978.17,17949.89,24684.03,14874.65,17849.58,139.45,32.84,128,448,57.57,175.31,25.04,62.61,0,0,192.8438281,140.2335156,,
410,Case411,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.196,4000,0.015,0.032,0.01,0.594,52,0.0023,0.00046,18,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.61,24679.29,18389.62,-22247.23,-15357.81,18389.62,24679.31,15209.59,18251.5,142.59,32.84,128,448,57.57,175.31,25.04,62.61,0,0,192.8069531,143.6689063,,
411,Case412,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.196,4000,0.015,0.032,0.043,0.594,52,0.0023,0.00046,18,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.57,24733.97,18603.51,-22293.51,-15494.74,18603.51,24733.99,15361.19,18433.43,144.01,32.84,128,448,57.57,175.31,25.04,62.61,0,0,193.2341406,145.3399219,,
412,Case413,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,4000,0.015,0.032,0.043,0.594,52,0.0023,0.00046,18,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.57,24488.2,18465.14,-22055.85,-15371.68,18465.14,24488.22,15233.62,18280.34,142.82,32.84,128,448,57.57,175.31,25.04,62.61,0,0,191.3140625,144.2589063,,
413,Case414,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.032,0.043,0.594,52,0.0023,0.00046,18,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.59,24383.35,18580,-21954.13,-15460.9,18580,24383.37,15325.43,18390.51,143.68,32.84,128,448,57.57,175.31,25.04,62.61,0,0,190.4949219,145.15625,,
414,Case415,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.032,0.043,0.594,10,0.0023,0.00046,18,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.59,4502.77,12975.22,-3694.26,-10065.4,12975.22,4502.77,9932.06,11918.47,93.11,32.84,128,448,57.57,175.31,25.04,62.61,0,0,35.17789063,101.3689063,,
415,Case416,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.032,0.043,0.594,10,0.0023,0.001,18,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.56,4590.13,15835.49,-3702.37,-12064.94,15835.49,4590.14,11884.19,14261.02,111.41,32.84,128,448,57.57,175.31,25.04,62.61,0,0,35.86039063,123.7147656,,
416,Case417,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.065,0.043,0.594,10,0.0023,0.001,18,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,1,0,0,0,3.56,4655.84,16004.13,-3754.61,-12147.08,16004.13,4655.84,11967.52,14361.02,112.2,32.84,128,448,57.57,175.31,25.04,62.61,0,0,36.37375,125.0322656,,
417,Case418,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.065,0.043,0.594,10,0.0023,0.001,22.8,144,0.33,0.4,0.08,EnergyPlus Completed Successfully,0,0,0,0,3.56,417.41,8656.23,-342.89,-6482.43,8656.23,417.41,6294.35,7553.22,59.01,32.84,128,448,57.57,175.31,25.04,62.61,0,0,3.261015625,67.62679688,,
418,Case419,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.065,0.043,0.594,10,0.0023,0.001,22.8,144,0.33,5.56,0.08,EnergyPlus Completed Successfully,0,0,0,0,3.55,473.65,8810.3,-388.77,-6670.71,8810.3,473.65,6503.04,7803.65,60.97,32.87,128,448,72.43,220.33,93.37,16.79,0,0,3.700390625,68.83046875,,
419,Case420,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.065,0.043,0.594,10,0.005,0.001,22.8,144,0.33,5.56,0.08,EnergyPlus Completed Successfully,0,0,0,0,3.58,502.72,11446.61,-411.04,-8917.54,11446.61,502.72,8650.18,10380.22,81.1,32.87,128,448,72.43,220.33,93.37,16.79,0,0,3.9275,89.42664063,,
420,Case421,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.196,1720,0.015,0.065,0.043,0.594,10,0.005,0.001,22.8,144,0.33,5.56,15.032,EnergyPlus Completed Successfully,0,0,0,0,3.48,38605.33,1258132.92,-30902.86,-1031322.29,1258132.92,38605.36,989200.05,1187040.07,49.35,32.99,24051.19,84179.18,996.38,3020.18,1279.89,230.2,0,0,1.605131804,52.31063078,,
421,Case422,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.432,0.334,1720,0.015,0.065,0.043,0.594,10,0.005,0.001,22.8,144,0.33,5.56,15.032,EnergyPlus Completed Successfully,0,0,0,0,3.51,39095.54,1263442.12,-31310.74,-1035451.35,1263442.12,39095.57,993307.35,1191968.81,49.56,32.99,24051.19,84179.18,996.38,3020.18,1279.89,230.2,0,0,1.625513748,52.53137662,,
422,Case423,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.432,0.334,1720,0.015,0.065,0.043,0.594,10,0.005,0.001,22.8,144,0.33,5.56,15.032,EnergyPlus Completed Successfully,0,0,0,0,3.48,38848.84,1259501.59,-31108.09,-1032548.97,1259501.59,38848.88,990377.13,1188452.56,49.41,32.99,24051.19,84179.18,996.38,3020.18,1279.89,230.2,0,0,1.615256459,52.36753732,,
423,Case424,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.432,0.334,1720,0.015,0.065,0.043,0.594,10,0.005,0.001,22.8,144,0.75,5.56,15.032,EnergyPlus Completed Successfully,0,0,0,0,3.49,44177.72,1322100.7,-35553.1,-1079796.27,1322100.7,44177.76,1037708.25,1245249.91,51.77,74.98,24051.19,84179.18,2264.5,3020.18,1279.89,230.2,0,0,1.836820548,54.97028214,,
424,Case425,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.432,0.334,1720,0.03,0.065,0.043,0.594,10,0.005,0.001,22.8,144,0.75,5.56,15.032,EnergyPlus Completed Successfully,0,0,0,0,3.49,44515.39,1330801.23,-35831.45,-1086212.79,1330801.23,44515.43,1043947.01,1252736.41,52.09,74.98,24051.19,84179.18,2264.5,3020.18,1279.89,230.2,0,0,1.850860186,55.33203264,,
425,Case426,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.242,3240,0.025,0.054,0.01,0.97,80,0.005,0.0001,22.8,72,0.33,7.28,25,EnergyPlus Completed Successfully,0,0,0,0,3.53,3692087.34,5228976.59,-3178425.47,-4290154.9,5228976.59,3692090.29,4222371.79,5066846.15,126.67,32.99,40000,140000,1417.5,4296.28,259.44,1888.7,0,0,92.3021835,130.7244148,,
426,Case427,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.242,3240,0.025,0.054,0.043,0.97,80,0.005,0.0001,22.8,72,0.33,7.28,25,EnergyPlus Completed Successfully,0,0,0,0,3.54,3732270.7,5308778.65,-3213307.45,-4344621.22,5308778.65,3732273.68,4279508.07,5135409.69,128.39,32.99,40000,140000,1417.5,4296.28,259.44,1888.7,0,0,93.3067675,132.7194663,,
427,Case428,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.242,3240,0.025,0.054,0.043,0.97,80,0.005,0.0001,22.8,72,0.75,7.28,25,EnergyPlus Completed Successfully,0,0,0,0,3.54,3767812.21,5393989.03,-3246867.06,-4423579.56,5393989.03,3767815.23,4357791.21,5229349.45,130.73,74.99,40000,140000,3221.58,4296.28,259.44,1888.7,0,0,94.19530525,134.8497258,,
428,Case429,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.242,3240,0.025,0.054,0.043,0.97,80,0.005,0.0001,22.8,72,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.58,1521823.39,2202028.03,-1312175.33,-1809979.29,2202028.03,1521824.61,1783019.06,2139622.88,133.09,74.98,16076.8,56268.8,2042.16,2723.72,164.48,1197.38,0,0,94.65959582,136.9692992,,
429,Case430,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.242,3240,0.025,0.054,0.043,0.97,80,0.005,0.0001,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.55,1510903.15,2186813.51,-1302134.13,-1797150.82,2186813.51,1510904.36,1769223.63,2123068.35,132.06,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,93.98034124,136.0229343,,
430,Case431,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.242,3240,0.025,0.021,0.043,0.97,80,0.005,0.0001,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.55,1510280.87,2186200.8,-1301605.19,-1796785.07,2186200.8,1510282.08,1768855.79,2122626.95,132.03,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,93.94163453,135.9848229,,
431,Case432,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.38,3240,0.025,0.021,0.043,0.97,80,0.005,0.0001,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.54,1523966.68,2189878.49,-1314224.74,-1802843.7,2189878.49,1523967.9,1774948.92,2129938.7,132.49,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,94.79291152,136.2135804,,
432,Case433,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.38,3240,0.025,0.021,0.043,0.97,38,0.005,0.0001,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.55,215841.2,1423909.1,-176254.97,-1122221.39,1423909.1,215841.37,1095317.51,1314381.01,81.76,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,13.42563197,88.56918665,,
433,Case434,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.96,0.38,3240,0.025,0.021,0.043,0.97,38,0.005,0.00064,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.54,193974.3,1512471.5,-158166,-1187833.56,1512471.5,193974.46,1158021.12,1389625.35,86.44,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,12.06547945,94.07789485,,
434,Case435,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.96,0.38,3240,0.025,0.021,0.043,0.97,38,0.005,0.00064,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.55,192685.42,1509733.39,-157096.59,-1185130.07,1509733.39,192685.57,1155291.92,1386350.31,86.23,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,11.98530927,93.90758049,,
435,Case436,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.96,0.38,3240,0.01,0.021,0.043,0.97,38,0.005,0.00064,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.56,193157.48,1502756.89,-157455.13,-1178762.47,1502756.89,193157.64,1149091.45,1378909.74,85.77,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,12.01467207,93.47363219,,
436,Case437,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.96,0.38,3240,0.01,0.021,0.043,0.688,38,0.005,0.00064,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.58,193014.87,1502517.45,-157338.77,-1178565.77,1502517.45,193015.03,1148894.85,1378673.82,85.76,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,12.00580153,93.45873868,,
437,Case438,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.96,0.38,960,0.01,0.021,0.043,0.688,38,0.005,0.00064,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.58,196488.79,1508773.71,-160270.01,-1185989.81,1508773.71,196488.95,1156170.52,1387404.63,86.3,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,12.22188433,93.84788702,,
438,Case439,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.564,0.38,960,0.01,0.021,0.043,0.688,38,0.005,0.00064,22.8,180,0.75,7.28,10.048,EnergyPlus Completed Successfully,0,0,0,0,3.53,191178.26,1497661.77,-155877.09,-1176131.62,1497661.77,191178.41,1146188.48,1375426.17,85.55,74.98,16076.8,56268.8,2042.16,2723.72,1197.38,164.48,0,0,11.89156175,93.15670842,,
